ID,price
845,2537967.0165113756
1924,1060105.1035171945
10718,1264754.154955422
12076,4634819.18675334
12254,1997098.6728811772
9950,2522739.274884669
1548,3702427.1426255344
526,1408201.1345571466
6776,1784900.7577729812
1851,1265885.4111347338
9188,1857313.380368833
3382,2556679.8005576977
242,2874802.912279393
6439,3349328.6960773994
1561,2740524.4269165164
5339,3554865.5090462407
7387,1750963.750008006
11576,1956681.1740911384
5984,4848836.215773987
4486,2694277.53630866
2205,1609274.2396732217
3468,1539341.680097608
4226,2785093.2780411695
2088,2331836.7561748
2118,3382586.637118987
8036,1474032.0622948164
23,1372977.751698453
1898,1310109.713203762
6976,2361073.316577762
1465,2841422.4358776016
2040,1640262.2262596027
482,1434551.7079777538
5122,2081470.0763061468
3447,1762677.0414912174
12877,2101389.9590957034
3780,1771742.570598988
1285,1700801.7541109556
9200,2420134.180116363
921,2333758.8298079884
3060,3903529.0397912874
1082,1744950.248412742
71,1026725.0197491588
4464,1736253.7976189314
4576,2663918.7053258377
897,3308460.716692719
1756,1408748.5659025507
8745,1677362.1299564752
806,2327781.223385996
803,1433699.4661939559
7613,1624407.3289744775
243,1641194.784089381
8135,1417621.563615019
1527,2919731.400087775
2825,1574364.852169766
666,1338195.0564433592
12028,1548044.2995099325
2308,2332320.292615239
11223,2812109.7343296325
1479,1163398.8820405756
2057,2355961.962035778
2368,1383337.7606591235
7638,3145511.9823179324
432,1441230.4868432381
9800,1667941.4117710148
2140,3755024.397426961
837,2237922.86924442
3227,1809269.436807792
12412,3609781.8239941588
10267,2052862.883363022
3850,3929549.4933746676
382,4678398.886695155
1280,2681017.29864986
2226,4376488.591579308
4166,3263621.609828475
5208,2840375.637055469
4513,1999244.2429022572
10814,2851119.439125203
3120,3719308.1444378924
7915,2018346.554143355
3513,2362324.224376457
9041,1652905.8586614062
561,2126068.695794556
11041,2619355.722361865
2920,3521688.750801829
2042,1186990.948950146
10220,1129848.051406056
11511,1733736.6740394055
8424,2375170.7248239834
5801,3749025.025779244
10746,1172579.3779568367
11018,1062145.5686944027
816,1189409.9614291994
10413,2225797.0079100444
4471,3383299.14243673
1928,1834756.358225601
323,1128242.5195169915
11548,3623467.4667093307
12564,2553974.559893015
5817,4107479.308596848
1030,1399041.01701416
3888,1796821.0825875453
